id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
169,Static Row,strength,bodyweight,full body,pull,"legs, core, chest","Setup: Bodyweight only—use controlled tempo and balance. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, chest. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
170,Overhead Press Raise,cardio,jump rope,full body,stretch,"legs, core, chest","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
171,Bicep Curl Series,cardio,barbells,upper,push,"chest, biceps, deltoids","Setup: Set barbell with collars secured; grip evenly; brace before lift. Draw ribs down, keep shoulders packed and away from ears. Primary focus: chest, biceps, deltoids. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually. Keep posture tall; reduce pace if form degrades."
172,Dynamic Plank,warm-up,barbells,lower,push,"quads, glutes, calves","Setup: Set barbell with collars secured; grip evenly; brace before lift. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, glutes, calves. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually."
173,Dynamic Lateral Raise Twist,mobility,dumbbells,full body,pull,"legs, chest, core","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, chest, core. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
174,Mountain Climber Series,cardio,rower,core,push,"obliques, abs, lower back","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: obliques, abs, lower back. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
175,Push-Up Variation,strength,pull-up bar,full body,pull,"legs, core, chest","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, chest. Movement: Lower chest between hands with elbows ~45°, keep body in one line; press back up without flaring. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
176,Jump Rope Series,strength,dumbbells,full body,hold,"legs, chest, core","Setup: Hold dumbbells with a neutral, secure grip; wrists straight. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, chest, core. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
177,Lunge Series,warm-up,cable machine,lower,stretch,"quads, calves, hamstrings","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, calves, hamstrings. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
178,Row Iso,mobility,bodyweight,core,hold,"abs, lower back, obliques","Setup: Bodyweight only—use controlled tempo and balance. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
179,Close-Grip Lat Pulldown,mobility,treadmill,full body,pull,"legs, back, chest","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, chest. Movement: Pull handle to upper chest by driving elbows down; pause, then control the return overhead. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
180,Deficit Farmer Carry Variation,cardio,kettlebells,full body,push,"core, chest, back","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, chest, back. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades. Keep bell close to centerline to protect lower back."
181,B-Stance Hip Thrust Iso,warm-up,kettlebells,lower,pull,"glutes, hamstrings, calves","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, hamstrings, calves. Movement: Drive through heels to extend hips fully; pause and squeeze glutes, then lower with control. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
182,Paused Step-Up Rotation,cardio,smith machine,full body,stretch,"back, chest, core","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, chest, core. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
183,Dips Series,strength,dip belt,core,push,"abs, obliques, lower back","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
184,Incline Side Plank,strength,rings,core,stretch,"lower back, obliques, abs","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
